Position,Name,Number,Team,Games Active,Games Played,Rush Attempts,Rushing Yards,Rushing Yards Per Attempt,Rushing Touchdowns,Receiving Targets,Receptions,Receiving Yards,Receiving Yards Per Reception,Receiving Touchdowns,Reception Percentage,Receiving Yards Per Target,Fumbles,Fumbles Lost
RB,Elijah Mitchell,25,SF,2,2,17.9,58.2,4.0,0.0,5.0,3.8,2.5,0.9,0.0,83.9,0.6,0.0,0.0
RB,Chris Evans,25,CIN,2,2,2.5,13.4,7.5,0.0,1.3,1.3,-1.1,-1.1,0.0,111.9,-1.1,0.0,0.0
RB,Kareem Hunt,27,CLE,2,2,11.2,28.0,3.1,0.0,3.8,2.5,24.6,12.3,0.0,74.6,9.1,0.0,0.0
RB,Godwin Igwebuike,48,PIT,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RB,Aaron Jones,33,GB,2,2,15.7,66.0,5.3,1.3,7.5,3.8,91.8,30.5,1.3,56.0,15.3,0.0,0.0
RB,JaMycal Hasty,22,JAX,1,1,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RB,Zonovan Knight,28,DET,1,1,3.8,14.5,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RB,Raheem Blackshear,3,CAR,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RB,Alvin Kamara,41,NO,1,1,12.3,57.1,5.8,0.0,15.7,14.5,36.9,3.1,0.0,104.0,3.0,0.0,0.0
RB,D'Onta Foreman,21,CHI,1,1,6.3,17.9,4.0,0.0,3.8,2.5,10.0,5.0,0.0,74.6,3.4,0.0,0.0
RB,Austin Ekeler,30,LAC,1,1,17.9,130.9,9.1,1.3,6.3,5.0,52.6,13.2,0.0,89.5,10.5,0.0,0.0
RB,Dare Ogunbowale,33,HOU,1,1,2.5,5.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RB,Cordarrelle Patterson,84,ATL,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RB,Rashaad Penny,23,PHI,1,1,3.8,10.1,3.8,0.0,1.3,1.3,6.3,6.3,0.0,111.9,6.3,0.0,0.0
RB,Tyrion Davis-Price,32,SF,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RB,Israel Abanikanda,25,NYJ,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RB,Zach Evans,21,LAR,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
