Position,Name,Number,Team,Activated,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingYardsPerReception,ReceivingTouchdowns,ReceptionPercentage,ReceivingYardsPerTarget,Fumbles,FumblesLost
WR,Amari Cooper,2,CLE,4,4,0.0,0.0,0.0,0.0,34.7,20.1,289.8,16.1,1.3,65.0,10.5,0.0,0.0
WR,Michael Gallup,13,DAL,4,4,0.0,0.0,0.0,0.0,19.0,14.5,184.6,14.2,0.0,85.6,10.9,0.0,0.0
WR,DJ Moore,2,CHI,4,4,0.0,0.0,0.0,0.0,26.9,21.3,336.8,17.7,2.5,88.6,14.0,0.0,0.0
WR,Nelson Agholor,15,BAL,4,4,0.0,0.0,0.0,0.0,13.4,11.2,118.6,11.9,1.3,93.2,11.0,0.0,0.0
WR,Christian Kirk,13,JAX,4,4,0.0,0.0,0.0,0.0,39.2,26.9,287.6,12.0,1.3,76.8,9.1,0.0,0.0
WR,Calvin Ridley,0,JAX,4,4,0.0,0.0,0.0,0.0,31.3,16.8,236.1,15.8,2.5,60.0,9.4,1.3,0.0
WR,Tyler Lockett,16,SEA,4,4,0.0,0.0,0.0,0.0,30.2,19.0,175.7,10.3,2.5,70.5,7.3,0.0,0.0
WR,Courtland Sutton,14,DEN,4,4,0.0,0.0,0.0,0.0,31.3,22.4,241.7,12.1,3.8,79.9,9.6,2.5,2.5
WR,Ty Montgomery II,14,NE,4,4,1.3,8.8,8.8,0.0,5.0,2.5,10.1,5.6,0.0,56.0,2.8,0.0,0.0
WR,Kendrick Bourne,84,NE,4,4,0.0,0.0,0.0,0.0,31.3,17.9,195.8,12.2,2.5,63.9,7.8,0.0,0.0
WR,Zach Pascal,0,ARI,4,4,0.0,0.0,0.0,0.0,7.5,5.0,21.3,6.0,0.0,74.6,4.0,0.0,0.0
WR,Trent Taylor,15,CHI,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WR,Jamison Crowder,83,WAS,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WR,Isaiah McKenzie,6,IND,4,4,0.0,0.0,0.0,0.0,6.3,3.8,17.9,6.6,0.0,67.1,4.0,0.0,0.0
WR,Mack Hollins,18,ATL,4,4,0.0,0.0,0.0,0.0,19.0,8.8,127.6,18.2,0.0,46.1,8.4,0.0,0.0
WR,Stefon Diggs,14,BUF,4,4,0.0,0.0,0.0,0.0,43.6,34.7,446.5,14.4,5.0,89.0,11.4,0.0,0.0
WR,DeAndre Carter,3,LV,4,4,0.0,0.0,0.0,0.0,3.8,2.5,23.5,11.7,0.0,74.6,8.8,1.3,0.0
WR,Josh Reynolds,8,DET,4,4,0.0,0.0,0.0,0.0,21.3,13.4,240.6,20.0,2.5,70.7,12.6,0.0,0.0
WR,Curtis Samuel,4,WAS,4,4,3.8,22.4,8.4,1.3,22.4,19.0,199.2,11.7,0.0,95.1,11.1,0.0,0.0
WR,Michael Thomas,13,NO,4,4,0.0,0.0,0.0,0.0,35.8,24.6,245.1,11.2,0.0,77.0,8.5,0.0,0.0
WR,JuJu Smith-Schuster,7,NE,4,4,0.0,0.0,0.0,0.0,23.5,12.3,89.5,9.1,0.0,58.6,4.8,0.0,0.0
WR,Chris Godwin,14,TB,4,4,0.0,0.0,0.0,0.0,33.6,23.5,285.3,13.5,0.0,78.3,10.6,0.0,0.0
WR,Kalif Raymond,11,DET,4,4,2.5,57.1,28.5,0.0,12.3,10.0,133.2,16.7,1.3,81.4,12.1,0.0,0.0
WR,Sterling Shepard,3,NYG,4,4,0.0,0.0,0.0,0.0,3.8,2.5,11.2,6.3,0.0,74.6,4.1,0.0,0.0
WR,Tyreek Hill,10,MIA,4,4,1.3,15.7,15.7,0.0,44.8,31.3,525.9,18.8,5.0,78.3,13.2,0.0,0.0
WR,Demarcus Robinson,15,LAR,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
